tanggal,deskripsi,nomor_part,harga,qty,satuan,pengguna
2023-10-28,Ban Depan Luar 750-16 BS Ex DT / ASTRA ISUZU,DK 5565-53/DJ0523,1400000,1,set, N 8333 UF 
2023-10-28,Ban Luar 7.50-16 BS/BSN,H1102-HNJ4822,2175000,1,set, N 8448 UF 
2023-10-28,Ban Luar 7.50-16 BS/BSN,T1201-HNJ0223,2175000,1,set, N 8448 UF 
2023-10-28,Pas Kip Nap Dalam ,Bambang As,175000,1,pcs, N 9210 UF 
2023-10-28,Pas Kip Nap Luar,Bambang As,150000,1,pcs, N 9210 UF 
2023-10-28,B/P Roda ,Bambang As,75000,1,pcs, N 9210 UF 
2023-10-28,BBM Traga Storing ke Bambang wajak ,Kas ,50000,1,pcs, N 9849 UH  
2023-10-28,UM Storing P. Edi + P. Rudi ,Kas ,15000,2,org, N 9849 UH  
2023-10-30,Oil Engine MEDITRAN SX,15W-40,29200,1,ltr, N 9433 UG 
2023-10-30,ACCU NS70 12V RCA BATT,DIRGAPUTRA EKAPRATAMA,809041,1,pcs, N 9433 UG 
2023-10-30,Oil Engine MEDITRAN SX,15W-40,29200,9,ltr, N 9492 UH 
2023-10-30,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 9492 UH 
2023-10-30,Velg Baru L6-12mm - UJB,P/N,900000,1,pcs, N 9492 UH 
2023-10-30,Kanvas Kopling ASTRA,I8-L7377 49-0,1200000,1,pcs, N 9429 UG 
2023-10-30,DRIK LAKER NKR71 78TKL4801 NSK,73 MOTOR,380000,1,pcs, N 9429 UG 
2023-10-30,Dudukan Transmisi NKR 71,18-94111903-1,44000,2,pcs, N 9429 UG 
2023-10-30,Air Filter NMR / ASTRA,18-98321 413-A,220000,1,pcs, N 9429 UG 
2023-10-30,Popok As Pen Dump Dia 50 mm,Triyenny,125000,1,pcs, N 8477 UG 
2023-10-30,Bearing Gardan 30309 DJR / JUB,30309 DJR,165500,1,pcs,N 8432 BF
2023-10-30,Bearing Gardan 30310 DJR / JUB,30310 DJR,200000,1,pcs,N 8432 BF
2023-10-30,SPACER COLLAR PINION Gardan NMR 1-41219004-0,73 MOTOR,160000,1,pcs,N 8432 BF
2023-10-30,Ring Lock gigi nanas gardan 1-09588065-2,73 MOTOR,30000,1,pcs,N 8432 BF
2023-10-30,Seal Pinion/MOB gardan  / PM SBY,8-97047609-0,45000,1,pcs,N 8432 BF
2023-10-30,Gear Pinion Crown Wheel / NMR 71 / 43x7,ASTRA ISUZU,4192500,1,pcs,N 8432 BF
2023-10-30,Bearing Pinion NMR /JUB,1-098110062-1/J 30,290000,1,pcs,N 8432 BF
2023-10-30,BEARING GARDAN 3984/20 KOYO,LAHAR JAYA,185000,2,pcs,N 8432 BF
2023-10-30,Tabung Gas LPG isi 12 kg ,Kas ,210000,1,pcs, N 8477 UG 
2023-10-31,kawat Las RB 4.0 mm, * ,1565,10,pcs, N 8271 UE 
2023-10-31,Kawat Las RB 2.6 mm,*,750,5,pcs, N 8271 UE 
2023-10-31,Oil hydraulic TuraliK 69,CAHAYA GUNUNG JATI,27000,3,ltr, N 8271 UE 
2023-10-31,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,90675,1,pcs, N 9616 UH 
2023-10-31,Minyak Rem PRESTONE / ARNEX,DOT 3,75000,0.3,ltr,N 8430 BF 
2023-10-31,Seal Rem 40493,Makmur Motor,11000,6,pcs,N 8430 BF 
2023-10-31,SEAL REM 40493 R,73 MOTOR,10000,4,pcs,N 8430 BF 
2023-10-31,SEAL DEBU CANTER/NKR71,73 MOTOR,4000,8,pcs,N 8430 BF 
2023-10-31,Master Rem bawah NKR 71,73 Motor,175000,1,pcs,N 8430 BF 
2023-10-31,Bearing Roda Belakang Dalam NMR/JUB,30213 JR / KOYO,162500,2,pcs,N 8430 BF 
2023-10-31,Bearing Roda Belakang Luar / JUB,28680/22 KOYO,176750,1,pcs,N 8430 BF 
2023-10-31,Seal Roda Belakang Dalam NMR  - RM,8 - 97122937 - 0,45000,2,pcs,N 8430 BF 
2023-10-31,Gerinda Potong WD 4'',Prima Sekar,2500,1,pcs,N 8076 UF
2023-10-31,Lampu Rotary,Anugerah JAYA,450000,1,pcs,N 8076 UF
2023-10-31,Lampu Rotary,Anugerah JAYA,450000,1,pcs, N 8198 UH 
2023-10-31,Ban 1100 GT / EX Mixer Hino Baru,UJB 767,4250000,1,set, N 8198 UH 
2023-10-31,Marshet IBK R20 + Besi,DIRGAPUTRA EKAPRATAMA,70586,1,pcs, N 8198 UH 
